Subpopulation,Indicator,NResp,Value,Estimate.P,LCB95Pct.P,UCB95Pct.P
Virginia,VSCIAll,283,61.08,48.06825248,43.6733909,52.46311406
Virginia,VSCIAll,284,61.12038223,48.1585115,43.76581151,52.55121148
Virginia,VSCIAll,285,61.14020983,48.21523825,43.82228751,52.608189
Virginia,VSCIAll,286,61.2191608,48.7409513,44.35015447,53.13174813
Virginia,VSCIAll,287,61.22,49.00380782,44.61989685,53.3877188
Virginia,VSCIAll,288,61.235,49.03136325,44.64942545,53.41330105
Virginia,VSCIAll,289,61.25,49.15348197,44.77056074,53.53640319
Virginia,VSCIAll,290,61.27,49.24374098,44.85969629,53.62778567
Virginia,VSCIAll,291,61.29924719,49.76945403,45.41452619,54.12438186
Virginia,VSCIAll,292,61.30192974,49.82618079,45.46972443,54.18263714
Virginia,VSCIAll,293,61.47057153,49.94829951,45.59038547,54.30621354
Virginia,VSCIAll,294,61.59345076,50.07041822,45.71236884,54.42846761
Virginia,VSCIAll,295,61.595,50.19253694,45.83196692,54.55310697
Virginia,VSCIAll,296,61.63984505,50.28279596,45.9197355,54.64585642
Virginia,VSCIAll,297,61.65,50.2919811,45.92857475,54.65538745
Virginia,VSCIAll,298,61.72,50.41409982,46.05175414,54.7764455
Virginia,VSCIAll,299,61.77,50.93981286,46.59641149,55.28321424
Virginia,VSCIAll,300,61.79,50.99653962,46.6552259,55.33785334
Virginia,VSCIAll,301,61.79712736,51.11865834,46.77709385,55.46022283
Virginia,VSCIAll,302,61.89712355,51.24077706,46.89940922,55.58214489
Virginia,VSCIAll,303,61.9349016,51.33103607,46.99183038,55.67024177
Virginia,VSCIAll,304,61.9395818,51.85674912,47.59058785,56.12291039
Virginia,VSCIAll,305,62.04949308,52.38246217,48.10427911,56.66064523
Virginia,VSCIAll,306,62.12557608,52.50458088,48.22951369,56.77964808
Virginia,VSCIAll,307,62.25,52.6266996,48.34918718,56.90421202
Virginia,VSCIAll,308,62.25789483,52.68342636,48.40655383,56.96029889
Virginia,VSCIAll,309,62.26,52.74015312,48.46604031,57.01426593
Virginia,VSCIAll,310,62.26170939,52.79687988,48.52326235,57.07049741
Virginia,VSCIAll,311,62.28,52.88713889,48.61495872,57.15931907
Virginia,VSCIAll,312,62.29,52.97739791,48.71004784,57.24474798
Virginia,VSCIAll,313,62.37249004,53.50311096,49.21193404,57.79428787
Virginia,VSCIAll,314,62.42,53.59336997,49.30755256,57.87918739
Virginia,VSCIAll,315,62.505,53.62092539,49.33461021,57.90724057
Virginia,VSCIAll,316,62.51844314,53.64848082,49.36207264,57.93488899
Virginia,VSCIAll,317,62.54307406,53.73873983,49.45367277,58.02380689
Virginia,VSCIAll,318,62.58374116,53.79546659,49.51224763,58.07868555
Virginia,VSCIAll,319,62.60752483,53.91758531,49.63222045,58.20295017
Virginia,VSCIAll,320,62.68,53.97431207,49.69387101,58.25475313
Virginia,VSCIAll,321,62.735,54.09643079,49.81900911,58.37385246
Virginia,VSCIAll,322,62.74,54.13713703,49.86004817,58.41422589
Virginia,VSCIAll,323,62.75950868,54.19386378,49.9163311,58.47139647
Virginia,VSCIAll,324,62.76858653,54.22141921,49.94278055,58.50005787
Virginia,VSCIAll,325,62.82698928,54.31167822,50.0356197,58.58773674
Virginia,VSCIAll,326,62.8926753,54.33923365,50.06493227,58.61353503
Virginia,VSCIAll,327,62.92,54.46135237,50.18893113,58.7337736
Virginia,VSCIAll,328,63.12,54.48890779,50.21710526,58.76071032
Virginia,VSCIAll,329,63.19316875,54.5791668,50.30834385,58.84998975
Virginia,VSCIAll,330,63.205,54.66942582,50.3998736,58.93897804
Virginia,VSCIAll,331,63.25238824,54.69698124,50.42670837,58.96725412
Virginia,VSCIAll,332,63.255,54.753708,50.48293113,59.02448487
Virginia,VSCIAll,333,63.26842231,54.81043476,50.54003139,59.08083813
Virginia,VSCIAll,334,63.27695732,54.86716152,50.59689591,59.13742713
Virginia,VSCIAll,335,63.41436782,54.89471694,50.62412515,59.16530873
Virginia,VSCIAll,336,63.45363738,54.98497596,50.71911972,59.2508322
Virginia,VSCIAll,337,63.53595468,55.07523497,50.81124789,59.33922205
Virginia,VSCIAll,338,63.5392102,55.60094802,51.32684149,59.87505455
Virginia,VSCIAll,339,63.54704239,55.62074307,51.3478363,59.89364985
Virginia,VSCIAll,340,63.575,55.71100209,51.44087076,59.98113342
Virginia,VSCIAll,341,63.63,55.83312081,51.55867543,60.10756618
Virginia,VSCIAll,342,63.735,56.35883385,52.08500713,60.63266057
Virginia,VSCIAll,343,63.845,56.44909287,52.17847744,60.7197083
Virginia,VSCIAll,344,63.895,56.50581963,52.23113312,60.78050613
Virginia,VSCIAll,345,63.94772244,56.53337505,52.25928782,60.80746228
Virginia,VSCIAll,346,63.96354283,56.62363406,52.34911684,60.89815129
Virginia,VSCIAll,347,64.02441618,56.71389308,52.44014524,60.98764092
Virginia,VSCIAll,348,64.06,56.80415209,52.52993786,61.07836633
Virginia,VSCIAll,349,64.41127364,56.86087885,52.58726958,61.13448813
Virginia,VSCIAll,350,64.42,56.91760561,52.64375815,61.19145307
Virginia,VSCIAll,351,64.48029122,56.97433237,52.70398592,61.24467882
Virginia,VSCIAll,352,64.635,57.09645109,52.82823864,61.36466354
Virginia,VSCIAll,353,64.66844291,57.1867101,52.92135014,61.45207007
Virginia,VSCIAll,354,64.76172077,57.24343686,52.97678614,61.51008759
